,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,E06000005,57900,103900,55.7,2.3,63000,103900,60.6,2.3,!,103900,!,!,5500,103900,5.3,1.1,1600,103900,1.6,0.6,500,103900,0.5,*
County Durham,E06000047,222700,513200,43.4,2.6,324900,513200,63.3,2.5,!,513200,!,!,14100,513200,2.8,0.8,3900,513200,0.8,0.4,1400,513200,0.3,*
Hartlepool,E06000001,46100,91600,50.4,2.3,60800,91600,66.3,2.2,!,91600,!,!,1900,91600,2.1,0.7,600,91600,0.7,0.4,~,91600,0.3,*
Middlesbrough,E06000002,68900,138900,49.6,2.4,85800,138900,61.8,2.3,!,138900,!,!,11600,138900,8.4,1.3,800,138900,0.6,0.4,~,138900,0.3,*
Northumberland,E06000057,168500,309900,54.4,2.4,157300,309900,50.8,2.4,!,309900,!,!,4700,309900,1.5,0.6,5700,309900,1.8,0.6,!,309900,!,!
Redcar and Cleveland,E06000003,63000,133300,47.3,2.5,99700,133300,74.8,2.2,!,133300,!,!,1900,133300,1.4,0.6,1600,133300,1.2,0.6,~,133300,0.2,*
Stockton-on-Tees,E06000004,93100,192200,48.4,2.8,132300,192200,68.8,2.6,!,192200,!,!,6800,192200,3.5,1,1700,192200,0.9,0.5,900,192200,0.5,*
Gateshead,E08000037,97300,198300,49.1,2.6,119600,198300,60.3,2.5,!,198300,!,!,9100,198300,4.6,1.1,1700,198300,0.9,0.5,!,198300,!,!
Newcastle upon Tyne,E08000021,133600,290400,46,2.5,154800,290400,53.3,2.5,!,290400,!,!,35400,290400,12.2,1.7,3300,290400,1.1,0.5,1300,290400,0.4,*
North Tyneside,E08000022,105900,202700,52.2,2.6,124000,202700,61.2,2.5,!,202700,!,!,8300,202700,4.1,1,800,202700,0.4,*,~,202700,0.2,*
South Tyneside,E08000023,78200,147500,53,2.4,93300,147500,63.3,2.3,!,147500,!,!,3900,147500,2.7,0.8,1000,147500,0.7,0.4,!,147500,!,!
Sunderland,E08000024,142400,275200,51.8,2.6,171000,275200,62.1,2.6,!,275200,!,!,7600,275200,2.8,0.9,1100,275200,0.4,*,!,275200,!,!
Blackburn with Darwen,E06000008,86300,145000,59.5,2.3,59900,145000,41.3,2.3,!,145000,!,!,15000,145000,10.3,1.4,1000,145000,0.7,0.4,~,145000,0.1,*
Blackpool,E06000009,60900,135600,45,2.5,90900,135600,67,2.4,!,135600,!,!,7500,135600,5.5,1.2,3000,135600,2.2,0.7,1000,135600,0.7,0.4
Cheshire East,E06000049,160900,371600,43.3,3.5,237800,371600,64,3.4,!,371600,!,!,16300,371600,4.4,1.5,4900,371600,1.3,0.8,2400,371600,0.6,*
Cheshire West and Chester,E06000050,172500,330300,52.2,3.5,172500,330300,52.2,3.5,!,330300,!,!,17200,330300,5.2,1.5,3700,330300,1.1,0.7,5000,330300,1.5,0.8
Halton,E06000006,56200,125700,44.7,2.4,80100,125700,63.8,2.3,!,125700,!,!,4000,125700,3.2,0.8,700,125700,0.6,0.4,1000,125700,0.8,0.4
Warrington,E06000007,90500,205600,44,2.6,114700,205600,55.8,2.6,!,205600,!,!,18300,205600,8.9,1.5,2300,205600,1.1,0.5,2100,205600,1,0.5
Allerdale,E07000026,63400,95000,66.7,5.1,38900,95000,41,5.3,!,95000,!,!,1600,95000,1.7,*,!,95000,!,!,!,95000,!,!
Barrow-in-Furness,E07000027,34100,66500,51.3,6.5,32100,66500,48.2,6.5,!,66500,!,!,#,66500,2,*,1100,66500,1.6,*,!,66500,!,!
Carlisle,E07000028,75700,107000,70.7,4.7,32600,107000,30.5,4.7,!,107000,!,!,4100,107000,3.8,2,3700,107000,3.4,1.9,1200,107000,1.1,*
Copeland,E07000029,50400,68200,73.9,5.6,19600,68200,28.8,5.8,!,68200,!,!,!,68200,!,!,!,68200,!,!,!,68200,!,!
Eden,E07000030,28300,51700,54.6,7.6,27800,51700,53.8,7.6,!,51700,!,!,!,51700,!,!,1000,51700,1.9,*,!,51700,!,!
South Lakeland,E07000031,51200,100100,51.1,5,57700,100100,57.6,4.9,!,100100,!,!,4100,100100,4.1,2,2900,100100,2.9,1.7,!,100100,!,!
Bolton,E08000001,144100,280100,51.5,2.5,139300,280100,49.7,2.5,!,280100,!,!,27600,280100,9.9,1.5,1800,280100,0.6,0.4,700,280100,0.2,*
Bury,E08000002,103200,187100,55.2,2.7,94600,187100,50.5,2.7,!,187100,!,!,9500,187100,5.1,1.2,1000,187100,0.5,*,600,187100,0.3,*
Manchester,E08000003,319400,527000,60.6,2.1,176100,527000,33.4,2,!,527000,!,!,112400,527000,21.3,1.8,2700,527000,0.5,0.3,5200,527000,1,0.4
Oldham,E08000004,99600,228700,43.5,2.4,132600,228700,58,2.4,!,228700,!,!,21200,228700,9.3,1.4,1700,228700,0.7,0.4,~,228700,0.2,*
Rochdale,E08000005,99700,211300,47.2,2.3,118300,211300,56,2.3,!,211300,!,!,20500,211300,9.7,1.4,900,211300,0.4,*,~,211300,0.1,*
Salford,E08000006,122300,244000,50.1,2.6,124000,244000,50.8,2.6,!,244000,!,!,37300,244000,15.3,1.9,1100,244000,0.4,*,1600,244000,0.6,*
Stockport,E08000007,173600,286400,60.6,2.3,149400,286400,52.2,2.4,!,286400,!,!,17500,286400,6.1,1.1,2500,286400,0.9,0.4,1600,286400,0.5,0.3
Tameside,E08000008,103000,220400,46.8,2.3,128000,220400,58.1,2.3,!,220400,!,!,16100,220400,7.3,1.2,1100,220400,0.5,*,700,220400,0.3,*
Trafford,E08000009,145800,234000,62.3,2.3,114500,234000,48.9,2.4,!,234000,!,!,24600,234000,10.5,1.5,1700,234000,0.7,0.4,1700,234000,0.7,0.4
Wigan,E08000010,174100,320500,54.3,2.5,185100,320500,57.8,2.5,!,320500,!,!,11700,320500,3.7,1,1000,320500,0.3,*,700,320500,0.2,*
Burnley,E07000117,46800,86400,54.2,6.9,42300,86400,49,6.9,!,86400,!,!,5100,86400,5.9,3.2,!,86400,!,!,!,86400,!,!
Chorley,E07000118,53100,110100,48.2,6.4,67300,110100,61.1,6.3,!,110100,!,!,5400,110100,4.9,2.8,!,110100,!,!,!,110100,!,!
Fylde,E07000119,27500,75700,36.3,6.5,56700,75700,74.9,5.9,!,75700,!,!,4000,75700,5.2,3,1400,75700,1.8,*,!,75700,!,!
Hyndburn,E07000120,33600,79400,42.3,7.7,44800,79400,56.5,7.7,!,79400,!,!,8300,79400,10.5,4.8,!,79400,!,!,!,79400,!,!
Lancaster,E07000121,76800,140000,54.8,5.8,95800,140000,68.4,5.4,!,140000,!,!,6200,140000,4.4,2.4,!,140000,!,!,!,140000,!,!
Pendle,E07000122,50300,89500,56.2,6.9,42200,89500,47.2,6.9,!,89500,!,!,9300,89500,10.4,4.2,!,89500,!,!,!,89500,!,!
Preston,E07000123,73200,139500,52.5,5.8,75000,139500,53.8,5.8,!,139500,!,!,12800,139500,9.2,3.4,1400,139500,1,*,!,139500,!,!
Ribble Valley,E07000124,30700,57200,53.8,9.4,36100,57200,63.1,9.1,!,57200,!,!,!,57200,!,!,!,57200,!,!,!,57200,!,!
Rossendale,E07000125,37000,69300,53.4,7.2,35700,69300,51.5,7.3,!,69300,!,!,#,69300,2.1,*,!,69300,!,!,!,69300,!,!
South Ribble,E07000126,66400,108800,61.1,6.4,67300,108800,61.9,6.3,!,108800,!,!,!,108800,!,!,!,108800,!,!,!,108800,!,!
West Lancashire,E07000127,41900,111400,37.6,6.4,73400,111400,65.9,6.3,!,111400,!,!,6000,111400,5.3,3,!,111400,!,!,!,111400,!,!
Wyre,E07000128,61200,108000,56.7,6,74600,108000,69.1,5.6,!,108000,!,!,1400,108000,1.3,*,1600,108000,1.4,*,!,108000,!,!
Knowsley,E08000011,54700,145800,37.5,2.4,99600,145800,68.3,2.3,!,145800,!,!,3400,145800,2.3,0.8,600,145800,0.4,*,~,145800,0.2,*
Liverpool,E08000012,194700,472200,41.2,2.3,268100,472200,56.8,2.3,!,472200,!,!,46800,472200,9.9,1.4,2700,472200,0.6,0.4,4000,472200,0.8,0.4
Sefton,E08000014,115100,269100,42.8,2.4,171200,269100,63.6,2.3,!,269100,!,!,9500,269100,3.5,0.9,1300,269100,0.5,*,900,269100,0.3,*
St. Helens,E08000013,76400,176400,43.3,2.5,110300,176400,62.5,2.4,!,176400,!,!,4500,176400,2.6,0.8,1400,176400,0.8,0.4,600,176400,0.3,*
Wirral,E08000015,188300,317600,59.3,2.5,157300,317600,49.5,2.6,!,317600,!,!,10000,317600,3.1,0.9,1300,317600,0.4,*,1700,317600,0.5,*
East Riding of Yorkshire,E06000011,129300,332000,39,2.5,238100,332000,71.7,2.3,!,332000,!,!,7300,332000,2.2,0.8,3500,332000,1,0.5,2100,332000,0.6,0.4
"Kingston upon Hull, City of",E06000010,94300,255700,36.9,2.5,176000,255700,68.8,2.4,!,255700,!,!,26400,255700,10.3,1.6,1900,255700,0.7,0.4,600,255700,0.2,*
North East Lincolnshire,E06000012,62200,157900,39.4,2.3,113700,157900,72,2.1,!,157900,!,!,6300,157900,4,0.9,2100,157900,1.4,0.5,1300,157900,0.9,0.4
North Lincolnshire,E06000013,65300,168400,38.8,2.5,113300,168400,67.3,2.4,!,168400,!,!,10100,168400,6,1.2,1900,168400,1.1,0.5,700,168400,0.4,*
York,E06000014,119300,204700,58.2,2.3,101600,204700,49.6,2.3,!,204700,!,!,13700,204700,6.7,1.2,2600,204700,1.3,0.5,1000,204700,0.5,*
Craven,E07000163,27600,54700,50.5,8.2,37100,54700,67.8,7.7,!,54700,!,!,3500,54700,6.4,*,1900,54700,3.5,*,!,54700,!,!
Hambleton,E07000164,37000,88000,42.1,6.5,59300,88000,67.4,6.2,!,88000,!,!,2500,88000,2.8,*,3400,88000,3.8,*,!,88000,!,!
Harrogate,E07000165,84000,153200,54.8,4.8,86600,153200,56.5,4.8,!,153200,!,!,11900,153200,7.8,2.6,3400,153200,2.2,*,1700,153200,1.1,*
Richmondshire,E07000166,38100,48600,78.4,7.8,8700,48600,17.9,7.2,!,48600,!,!,4000,48600,8.1,*,!,48600,!,!,!,48600,!,!
Ryedale,E07000167,32900,51900,63.5,7.5,27700,51900,53.3,7.8,!,51900,!,!,!,51900,!,!,1200,51900,2.3,*,!,51900,!,!
Scarborough,E07000168,48300,105900,45.6,6.1,65600,105900,62,5.9,!,105900,!,!,7200,105900,6.8,3.1,#,105900,1.4,*,!,105900,!,!
Selby,E07000169,48600,85500,56.9,6.5,57900,85500,67.8,6.1,!,85500,!,!,3100,85500,3.7,*,!,85500,!,!,!,85500,!,!
Barnsley,E08000016,134800,239100,56.4,2.4,145000,239100,60.6,2.4,!,239100,!,!,10800,239100,4.5,1,1000,239100,0.4,*,900,239100,0.4,*
Doncaster,E08000017,180500,299600,60.2,2.5,144900,299600,48.3,2.5,!,299600,!,!,18700,299600,6.2,1.2,2100,299600,0.7,0.4,1100,299600,0.4,*
Rotherham,E08000018,90700,260300,34.9,2.4,184300,260300,70.8,2.3,!,260300,!,!,6800,260300,2.6,0.8,2100,260300,0.8,0.5,700,260300,0.3,*
Sheffield,E08000019,250600,564500,44.4,2.6,349800,564500,62,2.5,!,564500,!,!,51200,564500,9.1,1.5,5100,564500,0.9,0.5,1700,564500,0.3,*
Bradford,E08000032,292600,527300,55.5,2.4,239900,527300,45.5,2.4,!,527300,!,!,61000,527300,11.6,1.5,4700,527300,0.9,0.5,1400,527300,0.3,*
Calderdale,E08000033,114400,207400,55.2,2.5,107000,207400,51.6,2.5,!,207400,!,!,13900,207400,6.7,1.3,900,207400,0.4,*,1300,207400,0.6,*
Kirklees,E08000034,232500,432500,53.8,2.5,213900,432500,49.5,2.6,!,432500,!,!,37600,432500,8.7,1.4,2200,432500,0.5,*,900,432500,0.2,*
Leeds,E08000035,438800,770500,56.9,2.2,373300,770500,48.4,2.2,!,770500,!,!,81100,770500,10.5,1.4,3200,770500,0.4,*,4200,770500,0.5,*
Wakefield,E08000036,203600,330400,61.6,2.3,225400,330400,68.2,2.2,!,330400,!,!,19300,330400,5.8,1.1,3800,330400,1.2,0.5,1700,330400,0.5,*
Derby,E06000015,105800,253100,41.8,2.6,139700,253100,55.2,2.6,!,253100,!,!,30700,253100,12.1,1.7,1600,253100,0.6,0.4,1200,253100,0.5,*
Leicester,E06000016,149600,341900,43.8,2.3,110000,341900,32.2,2.2,!,341900,!,!,100900,341900,29.5,2.1,1000,341900,0.3,*,900,341900,0.3,*
Nottingham,E06000018,141400,314500,45,2.3,154100,314500,49,2.3,!,314500,!,!,53400,314500,17,1.7,3100,314500,1,0.5,2100,314500,0.7,0.4
Rutland,E06000017,17800,35000,50.9,4.5,20600,35000,58.9,4.4,!,35000,!,!,1600,35000,4.5,1.9,~,35000,1.2,*,~,35000,1.2,*
Amber Valley,E07000032,61100,123300,49.6,5.9,80800,123300,65.5,5.6,!,123300,!,!,!,123300,!,!,!,123300,!,!,!,123300,!,!
Bolsover,E07000033,39200,77200,50.8,8.1,56200,77200,72.8,7.2,!,77200,!,!,#,77200,2.2,*,!,77200,!,!,!,77200,!,!
Chesterfield,E07000034,45900,102100,44.9,6.1,70800,102100,69.4,5.6,!,102100,!,!,2300,102100,2.3,*,1100,102100,1.1,*,!,102100,!,!
Derbyshire Dales,E07000035,32100,69700,46.1,7.6,39700,69700,57,7.6,!,69700,!,!,1100,69700,1.6,*,!,69700,!,!,!,69700,!,!
Erewash,E07000036,66100,113600,58.2,6.9,63400,113600,55.8,7,!,113600,!,!,1700,113600,1.5,*,!,113600,!,!,!,113600,!,!
High Peak,E07000037,49800,90800,54.9,6.2,53000,90800,58.4,6.2,!,90800,!,!,1900,90800,2.1,*,!,90800,!,!,!,90800,!,!
North East Derbyshire,E07000038,51100,100100,51,6.4,67300,100100,67.2,6.1,!,100100,!,!,#,100100,1.5,*,!,100100,!,!,!,100100,!,!
South Derbyshire,E07000039,42100,98300,42.8,6.2,67200,98300,68.4,5.8,!,98300,!,!,#,98300,1.9,*,!,98300,!,!,!,98300,!,!
Blaby,E07000129,44800,95100,47.1,6.5,61300,95100,64.4,6.3,!,95100,!,!,4100,95100,4.3,2.6,!,95100,!,!,!,95100,!,!
Charnwood,E07000130,78300,174800,44.8,4.8,109400,174800,62.6,4.7,!,174800,!,!,17900,174800,10.2,2.9,!,174800,!,!,#,174800,1.3,*
Harborough,E07000131,34900,87800,39.7,6.3,58900,87800,67.1,6,!,87800,!,!,1800,87800,2,*,!,87800,!,!,!,87800,!,!
Hinckley and Bosworth,E07000132,42500,108100,39.4,6.1,74700,108100,69.1,5.8,!,108100,!,!,3700,108100,3.5,*,!,108100,!,!,!,108100,!,!
Melton,E07000133,21100,50700,41.7,8.6,35800,50700,70.5,7.9,!,50700,!,!,!,50700,!,!,!,50700,!,!,!,50700,!,!
North West Leicestershire,E07000134,47900,96200,49.8,6.5,57300,96200,59.5,6.4,!,96200,!,!,4500,96200,4.7,2.7,1600,96200,1.7,*,!,96200,!,!
Oadby and Wigston,E07000135,32400,55100,58.7,7.7,23400,55100,42.5,7.7,!,55100,!,!,6500,55100,11.9,5,!,55100,!,!,!,55100,!,!
Boston,E07000136,19800,66500,29.9,7.4,33900,66500,51,8.1,!,66500,!,!,16700,66500,25.1,7,!,66500,!,!,!,66500,!,!
East Lindsey,E07000137,64100,133800,47.9,5.5,82100,133800,61.4,5.3,!,133800,!,!,2100,133800,1.6,*,1700,133800,1.3,*,!,133800,!,!
Lincoln,E07000138,36700,95500,38.5,6.7,58000,95500,60.7,6.7,!,95500,!,!,9800,95500,10.2,4.2,!,95500,!,!,!,95500,!,!
North Kesteven,E07000139,54100,111600,48.5,6.1,60200,111600,53.9,6.1,!,111600,!,!,2400,111600,2.2,*,2000,111600,1.8,*,2400,111600,2.2,*
South Holland,E07000140,20200,90600,22.3,5.1,71300,90600,78.7,5.1,!,90600,!,!,8500,90600,9.4,3.6,1800,90600,2,*,!,90600,!,!
South Kesteven,E07000141,53800,138200,39,5.4,89200,138200,64.6,5.3,!,138200,!,!,10600,138200,7.7,2.9,2100,138200,1.5,*,!,138200,!,!
West Lindsey,E07000142,41100,91500,45,5.9,60300,91500,65.9,5.6,!,91500,!,!,#,91500,1.8,*,!,91500,!,!,!,91500,!,!
Corby,E07000150,24000,67000,35.8,7.5,28500,67000,42.6,7.8,!,67000,!,!,15400,67000,23,6.6,3100,67000,4.7,*,!,67000,!,!
Daventry,E07000151,37300,78300,47.6,6.7,40200,78300,51.4,6.7,!,78300,!,!,6700,78300,8.6,3.8,!,78300,!,!,!,78300,!,!
East Northamptonshire,E07000152,41600,87900,47.3,6.6,52000,87900,59.2,6.5,!,87900,!,!,6000,87900,6.8,3.3,1200,87900,1.4,*,!,87900,!,!
Kettering,E07000153,40700,97200,41.9,6.7,52400,97200,53.9,6.7,!,97200,!,!,7600,97200,7.8,3.6,!,97200,!,!,!,97200,!,!
Northampton,E07000154,101800,220900,46.1,4.1,91800,220900,41.6,4.1,!,220900,!,!,43400,220900,19.6,3.3,1700,220900,0.8,*,1000,220900,0.5,*
South Northamptonshire,E07000155,54500,88500,61.6,6.4,36300,88500,41,6.4,!,88500,!,!,2500,88500,2.8,*,!,88500,!,!,!,88500,!,!
Wellingborough,E07000156,35500,76400,46.4,6.6,38200,76400,50,6.6,!,76400,!,!,5800,76400,7.6,3.5,1300,76400,1.7,*,1000,76400,1.3,*
Ashfield,E07000170,66400,122600,54.2,6,86000,122600,70.1,5.5,!,122600,!,!,!,122600,!,!,!,122600,!,!,!,122600,!,!
Bassetlaw,E07000171,40200,111700,36,6.1,74300,111700,66.5,6,!,111700,!,!,5400,111700,4.9,2.7,!,111700,!,!,!,111700,!,!
Broxtowe,E07000172,63200,111900,56.5,6.2,60800,111900,54.4,6.2,!,111900,!,!,8700,111900,7.7,3.4,!,111900,!,!,!,111900,!,!
Gedling,E07000173,46700,115800,40.3,5.8,69000,115800,59.6,5.8,!,115800,!,!,8600,115800,7.4,3.1,2000,115800,1.7,*,!,115800,!,!
Mansfield,E07000174,49800,105500,47.2,6.2,55600,105500,52.7,6.2,!,105500,!,!,11800,105500,11.2,3.9,!,105500,!,!,!,105500,!,!
Newark and Sherwood,E07000175,54100,116800,46.3,6.2,69400,116800,59.5,6.1,!,116800,!,!,7300,116800,6.3,3,!,116800,!,!,!,116800,!,!
Rushcliffe,E07000176,43900,113000,38.9,6.2,73900,113000,65.4,6,!,113000,!,!,5100,113000,4.5,2.6,!,113000,!,!,1600,113000,1.5,*
"Herefordshire, County of",E06000019,84100,185500,45.3,2.2,104000,185500,56.1,2.2,!,185500,!,!,14400,185500,7.8,1.2,1900,185500,1,0.4,7500,185500,4,0.9
Shropshire,E06000051,154600,304000,50.9,2.6,165100,304000,54.3,2.6,!,304000,!,!,12300,304000,4.1,1,2000,304000,0.7,*,10200,304000,3.3,0.9
Stoke-on-Trent,E06000021,121000,249600,48.5,2.6,132700,249600,53.2,2.6,!,249600,!,!,25100,249600,10.1,1.5,1600,249600,0.6,*,500,249600,0.2,*
Telford and Wrekin,E06000020,84400,169600,49.8,2.6,85200,169600,50.2,2.6,!,169600,!,!,9900,169600,5.9,1.2,1500,169600,0.9,0.5,3300,169600,2,0.7
Cannock Chase,E07000192,42800,97000,44.2,6.9,60500,97000,62.4,6.7,!,97000,!,!,#,97000,2.5,*,!,97000,!,!,!,97000,!,!
East Staffordshire,E07000193,58400,114300,51,5.9,60900,114300,53.3,5.9,!,114300,!,!,7200,114300,6.3,2.9,1100,114300,1,*,!,114300,!,!
Lichfield,E07000194,60500,100900,60,6.3,56300,100900,55.8,6.4,!,100900,!,!,2800,100900,2.8,*,!,100900,!,!,!,100900,!,!
Newcastle-under-Lyme,E07000195,51000,126000,40.5,6.1,88900,126000,70.6,5.6,!,126000,!,!,6500,126000,5.2,2.7,!,126000,!,!,1400,126000,1.1,*
South Staffordshire,E07000196,42200,109800,38.4,6,76700,109800,69.9,5.7,!,109800,!,!,1200,109800,1.1,*,!,109800,!,!,!,109800,!,!
Stafford,E07000197,61000,130400,46.8,5.4,81000,130400,62.1,5.3,!,130400,!,!,3700,130400,2.9,1.8,1600,130400,1.3,*,!,130400,!,!
Staffordshire Moorlands,E07000198,40700,96600,42.1,6.5,64000,96600,66.3,6.2,!,96600,!,!,2200,96600,2.3,*,!,96600,!,!,!,96600,!,!
Tamworth,E07000199,31500,76800,41,7.9,46900,76800,61.1,7.8,!,76800,!,!,2200,76800,2.9,*,!,76800,!,!,!,76800,!,!
