,,,,,,,,,,,,,,,
Waveney,E07000206,7.6,1.7,9.5,2.1,8.7,2.1,8.2,2.3,7.7,2,5.2,1.5,5,1.4
Camden,E09000007,9.2,1.6,8.4,1.6,8.4,1.7,8.7,1.8,6.7,1.5,6.3,1.4,5.7,1.2
City of London,E09000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hackney,E09000012,10.3,1.7,11.6,1.9,10.3,1.9,11.5,2.2,9.1,1.7,7.3,1.5,8,1.5
Hammersmith and Fulham,E09000013,8.8,1.6,8.2,1.5,8.6,1.7,8.9,1.8,6.5,1.4,5.7,1.2,6.1,1.2
Haringey,E09000014,12.1,2,12.3,2.1,10.9,2.1,10,2,8.9,1.7,7.1,1.5,7.1,1.3
Islington,E09000019,9.9,1.7,9.2,1.7,10.1,1.9,11.1,2.2,7.8,1.6,7.2,1.6,6.5,1.3
Kensington and Chelsea,E09000020,7.4,1.4,7.3,1.5,6.9,1.4,7.1,1.5,6.3,1.3,5.5,1.2,5.1,1.1
Lambeth,E09000022,9.6,1.6,11.1,1.9,9.8,1.8,8.5,1.9,7.9,1.6,6.6,1.5,6.5,1.3
Lewisham,E09000023,10.2,1.8,10.9,2,10.7,2,10.6,2.1,7.9,1.6,6.3,1.4,7.5,1.5
Newham,E09000025,12.2,2,13.9,2.2,13.7,2.4,11.8,2.2,11.2,2,7.8,1.6,7.6,1.4
Southwark,E09000028,10.7,1.9,11.2,2,10.7,1.9,9.9,2,10.1,1.8,7.4,1.5,6.7,1.3
Tower Hamlets,E09000030,12,2,13.1,2.2,12.7,2.2,13.6,2.4,9.8,1.9,8.9,1.8,7.2,1.5
Wandsworth,E09000032,6.6,1.3,7.1,1.4,6.6,1.4,7.5,1.6,5.3,1.2,5,1.1,4.9,1
Westminster,E09000033,8,1.6,7.9,1.5,7.8,1.5,7.7,1.6,5.5,1.2,6.7,1.4,5.8,1.2
Barking and Dagenham,E09000002,12.7,2.1,13.4,2.2,12.3,2.2,14.8,2.6,11.3,2.1,10.4,2.1,8.8,1.7
Barnet,E09000003,7.6,1.3,7.6,1.4,8.9,1.7,7.1,1.5,6.6,1.4,6.6,1.4,5.2,1
Bexley,E09000004,8.5,1.5,8,1.6,8,1.7,8.3,1.8,6.4,1.5,6.8,1.5,5,1.1
Brent,E09000005,9.4,1.7,10.4,2,10.5,2,10.6,2,8.7,1.6,6.4,1.3,7.9,1.4
Bromley,E09000006,6.6,1.3,6.9,1.4,6.6,1.4,6.6,1.5,5.5,1.1,5.4,1.2,5,1
Croydon,E09000008,9.2,1.6,8.7,1.6,10.6,1.9,9.7,2,8.1,1.6,6.4,1.3,5.3,1
Ealing,E09000009,9.7,1.6,9.1,1.7,10.6,1.9,10.7,2.1,9.4,1.8,6.9,1.4,6.5,1.2
Enfield,E09000010,10.6,1.6,11,1.9,12.8,2.3,10.6,2.1,8.7,1.7,7,1.5,6.3,1.3
Greenwich,E09000011,10.1,1.6,9.6,1.6,12,2.1,10.3,2.1,10,1.9,8.2,1.7,6.5,1.3
Harrow,E09000015,7.4,1.3,7.1,1.4,6.9,1.3,7.6,1.5,6.9,1.4,4.8,1,4.7,1
Havering,E09000016,8.4,1.5,8.6,1.7,9,1.9,9.8,2.1,6.6,1.5,7,1.5,5.3,1.2
Hillingdon,E09000017,8.3,1.5,8.4,1.6,8.2,1.6,8.6,1.8,6.4,1.4,6,1.3,5.4,1.1
Hounslow,E09000018,8,1.4,7.6,1.4,8.1,1.5,7.2,1.5,6.3,1.3,5.9,1.3,5,1
Kingston upon Thames,E09000021,6.5,1.3,6.7,1.4,6.2,1.3,5.7,1.3,5.3,1.2,5,1.1,5.3,1.1
Merton,E09000024,7.1,1.2,7.4,1.4,7.6,1.4,6.5,1.4,6.3,1.3,5.5,1.2,4.9,1
Redbridge,E09000026,9.3,1.5,9.5,1.7,10,1.8,8.4,1.7,8,1.6,7.3,1.4,5.5,1.1
Richmond upon Thames,E09000027,5.7,1.1,5.4,1.1,4.4,1,4.5,1.1,4.2,1,4.6,1.1,4.5,1
Sutton,E09000029,6.5,1.2,7.1,1.3,7.2,1.5,6.7,1.6,5.1,1.2,5.3,1.3,4.8,1.1
Waltham Forest,E09000031,11.5,1.8,10.3,1.7,11.5,2,10.5,2,9.9,1.9,7.5,1.6,6.4,1.4
Bracknell Forest,E06000036,5.7,0.9,4.8,0.8,5.3,0.9,4.8,0.9,4.3,0.8,3.6,0.7,3.2,0.5
Brighton and Hove,E06000043,8,1.1,7.5,1.2,7.6,1.3,8.4,1.4,6.6,1.1,5.8,1,6.1,1
Isle of Wight,E06000046,8.7,1.4,9.1,1.4,8.3,1.4,9.2,1.5,7.6,1.3,6.4,1.1,5.4,0.9
Medway,E06000035,9.2,1.4,7.8,1.3,8.9,1.4,10.2,1.6,8.2,1.4,7.6,1.3,6.2,1
Milton Keynes,E06000042,8.9,1.3,7.4,1.2,7.7,1.3,8.5,1.4,6.7,1.1,5.8,1,4.8,0.8
Portsmouth,E06000044,7.8,1.2,8.1,1.3,7.6,1.3,8.1,1.4,7.3,1.3,6.4,1.2,6.3,1
Reading,E06000038,7.3,1.1,7.4,1.2,6,1,6.6,1.1,5.9,1,5.1,0.9,5,0.8
Slough,E06000039,8.2,1.3,7.6,1.3,9.9,1.6,8.3,1.5,7.7,1.4,4.9,1,4.6,0.9
Southampton,E06000045,8.4,1.2,6.8,1.1,8.1,1.3,7.9,1.3,7.5,1.3,5.6,1.1,6.3,1
West Berkshire,E06000037,4.8,0.8,4.8,0.8,4.6,0.8,4.6,0.9,3.5,0.7,3,0.6,2.9,0.5
Windsor and Maidenhead,E06000040,5.4,0.8,5.1,0.9,4.5,0.9,4.5,0.9,3.9,0.8,3.4,0.7,3.4,0.6
Wokingham,E06000041,4.7,0.8,4.3,0.8,4.3,0.8,3.9,0.8,3.3,0.7,2.9,0.6,3.1,0.6
Aylesbury Vale,E07000004,4.8,1,5.2,1.1,5.7,1.3,5.8,1.3,4.1,1,3.8,0.9,3.2,0.7
Chiltern,E07000005,5,1.2,4.1,1.1,4.2,1.1,4.9,1.4,3.9,1,3.2,0.9,3,0.8
South Bucks,E07000006,5.2,1.8,3.9,1.3,4.1,1.3,4.3,1.4,3.7,1.2,3.3,1,3.6,1
Wycombe,E07000007,6.3,1.3,5.7,1.2,5.5,1.3,6.5,1.5,4.8,1.1,5.6,1.3,4.1,0.8
Eastbourne,E07000061,7.4,1.7,6.9,1.8,6.7,1.8,7.9,2.1,7,1.8,6.3,1.7,6.1,1.6
Hastings,E07000062,8.8,2.1,10,2.5,9.4,2.5,10.5,2.9,8.7,2.4,8.4,2.3,7.5,2
Lewes,E07000063,6.1,1.5,5.2,1.3,5.6,1.6,5.5,1.6,5.1,1.4,5.2,1.5,3.9,1
Rother,E07000064,5.8,1.5,7.7,2,7.9,2.3,6.8,2.1,5.7,1.7,4.5,1.4,4.2,1.2
Wealden,E07000065,4.8,1,4.4,1.1,4.1,1,5.2,1.3,3.6,0.9,3.6,0.9,3.6,0.8
Basingstoke and Deane,E07000084,5.7,1.1,5.3,1.2,5.4,1.3,5.5,1.3,4.1,1,3.7,0.9,3.7,0.9
East Hampshire,E07000085,4.8,1.1,4.4,1.1,5.1,1.3,4.6,1.3,4.1,1.2,3.2,0.9,3.3,0.9
Eastleigh,E07000086,5.5,1.2,5.1,1.2,5.4,1.4,4.9,1.4,3.3,1,3.3,0.9,3.1,0.9
Fareham,E07000087,4.9,1.1,4.4,1.3,4.3,1.2,4.2,1.3,3.6,1.1,3.2,1,3.7,1
Gosport,E07000088,6.2,1.6,6.3,1.8,6.6,2.1,7.8,2.5,5.7,1.9,4.7,1.6,4.1,1.4
Hart,E07000089,4.1,1,4.3,1.2,3.9,1.1,3.6,1.2,3,0.9,2.4,0.7,2.7,0.9
Havant,E07000090,6.4,1.5,7,1.8,7.9,2.3,7.3,2,6.5,1.9,5.8,1.7,5.1,1.4
New Forest,E07000091,5.6,1.1,5.2,1.2,4.7,1.2,4.9,1.3,3.7,1,3.7,1,3.3,0.8
Rushmoor,E07000092,5.9,1.4,6,1.6,5.8,1.6,7.9,2.3,5.1,1.5,4.3,1.2,3,0.9
Test Valley,E07000093,4.5,1,4.1,1.1,4.3,1.3,4.5,1.4,3.6,1,2.9,0.9,3.2,0.9
Winchester,E07000094,4.6,1.1,4,1.1,4.1,1.1,4.6,1.3,3.1,0.9,2.5,0.8,2.5,0.7
Ashford,E07000105,6,1.3,5.8,1.4,6.5,1.7,6.9,1.8,5.4,1.4,4.9,1.3,5,1.2
Canterbury,E07000106,6.7,1.5,7.2,1.7,7.2,1.8,9.2,2.3,6.7,1.8,5.8,1.5,5.7,1.5
Dartford,E07000107,6.7,1.7,7,2.1,6.8,2,7.1,2.2,5.3,1.6,5.8,1.7,4.3,1.2
Dover,E07000108,6.6,1.5,8.5,2.1,7.7,2.2,8.4,2.3,7.4,2,6.6,1.9,5.3,1.5
Gravesham,E07000109,8.8,2.4,8,2.1,9.8,2.7,9.4,2.8,6.6,2.1,7.1,2.2,5.9,1.9
Maidstone,E07000110,5.4,1.2,4.8,1.1,5.7,1.4,6.9,1.8,5.2,1.3,4.6,1.2,3.8,0.9
Sevenoaks,E07000111,5,1.3,4.7,1.3,4.8,1.4,4.5,1.3,4,1.3,3.7,1.1,3.4,1
Folkestone and Hythe,E07000112,7.8,1.9,8.3,2,6.9,1.9,7.7,2.2,6.7,1.8,5.8,1.7,5.3,1.4
Swale,E07000113,7.9,1.7,8.5,1.9,8.9,2.1,8.5,2.2,7,1.8,6,1.6,5.9,1.5
Thanet,E07000114,8.7,1.9,11.6,2.6,11.3,2.8,12.4,3.5,9.7,2.6,8.8,2.3,6.9,1.7
Tonbridge and Malling,E07000115,5.2,1.2,5.2,1.4,5.8,1.7,6,1.8,4.2,1.2,3.9,1.1,3.8,1
Tunbridge Wells,E07000116,4.9,1.2,5,1.2,4.2,1.1,4,1.2,3.7,1.1,4,1.2,3.4,0.9
Cherwell,E07000177,5.3,1.2,5.1,1.2,4.6,1.2,4.4,1.2,3.8,1,3.3,0.9,3.4,0.8
Oxford,E07000178,6.1,1.4,6.2,1.5,5.8,1.5,6.4,1.7,5.2,1.4,3.6,1,4.6,1.1
South Oxfordshire,E07000179,4.2,0.9,4.3,1,3.9,1,3.7,1,3.1,0.8,2.7,0.8,2.7,0.7
Vale of White Horse,E07000180,4.6,1.1,4,1,4.4,1.2,4.4,1.2,3.5,0.9,3.1,0.9,2.9,0.8
West Oxfordshire,E07000181,3.9,1,4,1,3.7,1.1,4.2,1.3,3.4,1,3.1,1,2.6,0.7
Elmbridge,E07000207,4.5,1,4.4,1.1,4.6,1.2,4,1.1,3.1,0.8,3.3,0.9,3.4,0.9
Epsom and Ewell,E07000208,5.3,1.4,4.4,1.5,4,1.4,4.8,1.6,3.7,1.3,2.9,1,2.7,0.9
Guildford,E07000209,4.8,1.1,4.7,1.1,4.8,1.2,5.7,1.5,4.2,1.2,3.4,0.9,3.2,0.8
Mole Valley,E07000210,4.7,1.2,4.2,1.1,3.9,1.1,4.5,1.3,3,1,3.1,1,3,0.8
Reigate and Banstead,E07000211,5.6,1.2,4,1,4.7,1.3,5,1.3,4,1.1,3.8,1,3,0.7
Runnymede,E07000212,4.8,1.3,5.5,1.5,4.6,1.4,4.4,1.4,4,1.2,3.3,1,3.4,1
Spelthorne,E07000213,6,1.4,5.2,1.4,4.8,1.4,4.8,1.3,4.3,1.2,3.9,1.1,3.8,0.9
Surrey Heath,E07000214,4.5,1.2,4.5,1.3,4.8,1.4,5.4,1.6,4.3,1.3,3.2,1,3,0.8
Tandridge,E07000215,4.5,1.2,4.8,1.4,4.9,1.5,4.8,1.5,3.9,1.3,3.4,1.1,2.7,0.8
Waverley,E07000216,4.5,1,3.8,1,4.3,1.2,4.4,1.2,4.2,1.2,3.2,0.9,2.8,0.7
Woking,E07000217,5,1.2,4.8,1.3,4.5,1.3,4.4,1.3,4.2,1.2,3.5,1,2.4,0.6
Adur,E07000223,6.9,1.8,7.3,2.2,5.4,2.1,6.8,2.5,5,1.8,5,1.6,4.2,1.3
Arun,E07000224,6.4,1.5,6,1.5,5.8,1.6,5.2,1.4,4.4,1.2,3.8,1.1,4.9,1.3
Chichester,E07000225,4.4,1.1,4.7,1.3,4.9,1.4,4.9,1.4,4.1,1.2,3.2,1,2.9,0.8
Crawley,E07000226,8.6,2.2,6.3,1.6,6.7,1.7,8.2,2.1,5.5,1.5,5.6,1.5,4.5,1.2
Horsham,E07000227,4.8,1.1,4.9,1.2,4.3,1.1,4.5,1.2,4.1,1.1,3.6,0.9,2.9,0.7
Mid Sussex,E07000228,4.5,1,3.9,1,3.8,1,3.3,0.9,2.9,0.8,2.7,0.7,2.7,0.6
Worthing,E07000229,6.6,1.6,6.5,1.7,5.9,1.7,6.5,1.9,5.2,1.6,4.1,1.2,4.5,1.2
Bath and North East Somerset,E06000022,5.7,0.9,5.6,1,6.2,1.2,5.3,1.1,5,0.9,3.7,0.7,4.1,0.7
Bournemouth,E06000028,7.5,1.1,7.3,1.2,6.7,1.2,6.2,1.2,6.7,1.2,4.7,0.9,5.4,0.9
"Bristol, City of",E06000023,7.9,1.2,7.4,1.2,7.7,1.4,8.1,1.5,8.3,1.4,5.5,1.1,5.3,0.9
Cornwall,E06000052,6.1,-,6.4,-,6.4,-,6.1,-,5.4,-,4.2,-,4.4,-
Isles of Scilly,E06000053,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North Somerset,E06000024,5.8,0.9,5.6,1,6.4,1.2,6.2,1.3,5.3,1,4.1,0.8,3.6,0.7
Plymouth,E06000026,7.8,1.2,7.4,1.2,8.6,1.4,8.7,1.5,7.8,1.2,6.3,1.1,6,0.9
Poole,E06000029,5.9,0.9,4.9,0.9,5.5,1,4.1,0.9,4.4,0.8,4.1,0.8,3.6,0.7
South Gloucestershire,E06000025,5,0.8,4.9,0.9,5.9,1.1,5.5,1.1,5.1,1,3.9,0.8,3.3,0.6
Swindon,E06000030,7.7,1.2,6.8,1.2,7.3,1.3,7.3,1.4,5.6,1,5.1,0.9,4,0.7
Torbay,E06000027,8.7,1.3,8.8,1.4,8.7,1.5,7.3,1.3,7.5,1.2,6,1.2,5.2,0.9
Wiltshire,E06000054,5.4,-,4.9,-,5.5,-,4.8,-,4.7,-,3.6,-,3.3,-
East Devon,E07000040,4,1,5.5,1.4,4.8,1.3,3.4,1.1,3.6,1,2.6,0.9,3.1,0.8
Exeter,E07000041,6.1,1.5,6,1.6,6.3,1.7,5.5,1.6,5.6,1.5,4.2,1.2,4.7,1.2
Mid Devon,E07000042,5.1,1.5,5.1,1.5,5.4,1.7,3.9,1.4,4.3,1.3,3,1.1,2.4,0.7
North Devon,E07000043,5.3,1.5,5.2,1.5,4.9,1.4,4.3,1.4,5.2,1.5,3.4,1.1,3.3,1
South Hams,E07000044,4.1,1.1,4.4,1.4,4,1.3,3.8,1.2,3.9,1.1,3.3,1.1,3.4,1
Teignbridge,E07000045,4.9,1.3,5.7,1.4,5.3,1.4,4.3,1.2,5.3,1.4,3,0.9,3.3,0.8
Torridge,E07000046,6.5,1.9,7.6,2.3,6.9,2.1,5.5,2,6.1,2.2,4.9,1.9,4.8,1.5
West Devon,E07000047,4.5,1.4,6,1.9,5.5,1.9,4.6,1.8,3.5,1.4,2.5,1,2.8,1
Christchurch,E07000048,5.6,1.6,5.1,1.6,4.8,1.6,4.4,1.5,4.9,1.6,3.7,1.3,3.4,1.1
East Dorset,E07000049,4.4,1,4.3,1.1,4.1,1.1,3,0.9,3.3,0.9,2.8,0.8,3.1,0.8
North Dorset,E07000050,4.1,1,3.8,1.1,4.1,1.2,3.4,1.1,3.4,1,2.9,0.9,2.8,0.8
Purbeck,E07000051,4.3,1.2,5,1.6,4.3,1.4,3.8,1.3,4,1.3,3.1,1.2,2.9,1.1
West Dorset,E07000052,4,0.9,4.4,1.1,3.6,1,2.8,0.9,3,0.8,3,0.9,2.9,0.8
Weymouth and Portland,E07000053,7.8,2.3,7.5,1.9,6.3,1.7,6.2,1.9,6.7,1.9,4.3,1.4,4.8,1.6
Cheltenham,E07000078,7.3,1.6,6.1,1.5,7.3,2,7,2,6.2,1.7,4.7,1.2,4.1,1
Cotswold,E07000079,4.7,1.3,3.9,1.1,4,1.3,3.8,1.2,3.3,1,2.6,0.9,2.6,0.8
Forest of Dean,E07000080,7,1.7,5.4,1.5,6.5,1.9,6.6,2,5.5,1.6,4.1,1.2,4.2,1.1
Gloucester,E07000081,7.5,1.7,6.7,1.7,8.2,2.1,7.5,2.1,7.1,1.8,6.9,1.8,4.2,1.1
Stroud,E07000082,5.8,1.3,5,1.2,4.7,1.3,4.3,1.3,4.4,1.2,3.4,1,2.9,0.8
Tewkesbury,E07000083,5.8,1.7,5.2,1.4,5.1,1.6,4.5,1.3,4.5,1.3,4.1,1.2,3.5,1
Mendip,E07000187,5.7,1.4,5.4,1.4,6,1.6,4.5,1.4,5.3,1.4,3.9,1.1,4.4,1.2
Sedgemoor,E07000188,7.8,1.7,6.5,1.6,6.6,1.8,5.9,1.7,6.3,1.7,5.7,1.5,4.6,1.2
South Somerset,E07000189,4.8,1.1,5,1.2,5.3,1.3,4.6,1.3,4.2,1.1,3.8,1,3.6,0.9
Taunton Deane,E07000190,6.2,1.5,5.5,1.5,5.3,1.5,5.4,1.6,5.1,1.4,4.1,1.1,4.2,1.2
West Somerset,E07000191,4.6,1.8,5.5,2.2,5,2.5,4.5,2.3,5.9,2.5,3,1.6,3.1,1.5
Isle of Anglesey,W06000001,7.3,1.2,7.7,1.3,6.8,1.2,7.5,1.3,7.3,1.2,6.5,1.1,4.9,0.8
Gwynedd,W06000002,6.1,1,6.9,1.1,6.6,1.2,6.5,1.2,6.2,1.1,6.2,1.2,4.6,0.8
Conwy,W06000003,6.9,1,7.3,1.1,7.1,1.2,6.6,1.2,5.8,1,6,1.1,4.4,0.7
Denbighshire,W06000004,7.6,1.1,7.6,1.2,7.5,1.3,7.7,1.3,7,1.2,6.4,1.1,4.3,0.7
Flintshire,W06000005,7.1,1.1,7.1,1.1,6.3,1.1,6.3,1.2,6.3,1.1,4.5,0.8,4.1,0.7
Wrexham,W06000006,7.3,1.1,7.7,1.2,7.6,1.3,6.9,1.3,6.2,1.1,5.9,1,4.3,0.8
Powys,W06000023,5,0.9,5.7,0.9,5.2,1,4.6,0.9,4.1,0.8,3.8,0.8,3,0.6
Ceredigion,W06000008,5.2,0.9,6.3,1.2,6.2,1.3,5.1,1.1,5,1,4.9,1,4.1,0.8
Pembrokeshire,W06000009,6.4,1,7.5,1.2,6.8,1.2,6.6,1.3,6.3,1.1,6,1.1,4.3,0.8
Carmarthenshire,W06000010,6.4,1,7.5,1.2,6.6,1.2,6.7,1.3,6.2,1.1,6.2,1.1,4.3,0.7
Swansea,W06000011,8.3,1.2,9.5,1.4,9.1,1.5,8.1,1.4,7.7,1.3,7.4,1.3,5.3,0.9
Neath Port Talbot,W06000012,8.9,1.3,9.5,1.4,8.7,1.5,7.9,1.4,7.5,1.3,6.7,1.2,5.5,1
Bridgend,W06000013,8.6,1.2,8,1.2,8.5,1.4,7.7,1.4,7.2,1.3,6.4,1.2,4.8,0.8
Vale of Glamorgan,W06000014,7.9,1.2,7.7,1.2,7.6,1.3,7.8,1.4,6.6,1.2,6.1,1.1,4,0.8
Cardiff,W06000015,8.5,1.3,8.8,1.4,9.4,1.5,10,1.6,7.9,1.3,7.9,1.3,6,1
Rhondda Cynon Taff,W06000016,9.5,1.3,10.5,1.5,10.5,1.6,11.8,1.9,8.7,1.4,6.9,1.2,5.6,0.9
Merthyr Tydfil,W06000024,11.7,1.8,11.7,1.9,12.5,2.1,11.1,2,8.6,1.6,7.5,1.4,5.9,1.1
Caerphilly,W06000018,10,1.4,10.5,1.5,10.4,1.5,9,1.5,8.4,1.4,8.5,1.4,5.8,1
Blaenau Gwent,W06000019,13.6,2,13.4,2.1,14.2,2.3,15.5,2.6,11.5,1.9,9.7,1.6,7,1.2
Torfaen,W06000020,9.3,1.3,10,1.4,10.7,1.6,11.4,1.8,8.7,1.4,7.3,1.3,5.1,0.9
Monmouthshire,W06000021,5.9,0.9,5.1,0.9,5.5,1,5.4,1,4.7,0.9,4.7,0.9,3.2,0.6
Newport,W06000022,9.6,1.3,10.6,1.5,9.9,1.5,9.6,1.6,8.2,1.4,8.3,1.5,6.2,1.1
Aberdeen City,S12000033,4.7,0.8,5.3,0.9,5.4,1,4.7,1,5,1,4.1,0.8,5.2,0.9
Aberdeenshire,S12000034,3.3,0.6,3.9,0.7,3.7,0.8,3,0.7,3.3,0.7,2.6,0.6,3.4,0.6
Angus,S12000041,5.9,0.9,7,1.1,6.2,1.1,6.3,1.2,5.6,1,5.1,1,4.5,0.8
Argyll and Bute,S12000035,6,0.9,6.3,1,6.6,1.2,6.3,1.2,5.6,1,4.7,0.9,4.3,0.8
Clackmannanshire,S12000005,7.9,1.5,8.6,1.7,10.1,2.3,9.8,2.3,9.3,2,6.3,1.4,5.5,1.1
Dumfries and Galloway,S12000006,6,0.9,6.8,1.2,7.8,1.3,8,1.4,6.3,1.1,5.1,0.9,4.4,0.7
Dundee City,S12000042,9.3,1.3,8.8,1.4,10.4,1.6,11.2,1.8,10.8,1.7,8.4,1.5,8.2,1.3
East Ayrshire,S12000008,9.6,1.3,9.9,1.4,11,1.7,10.9,1.8,10.4,1.7,7.8,1.4,7,1.2
East Dunbartonshire,S12000045,6.1,1,5.9,1,6.3,1.2,5.1,1,5,1,4.9,1,3.8,0.7
East Lothian,S12000010,6.2,1,7,1.2,6.9,1.3,6.3,1.3,6,1.1,4.9,1,4.6,0.8
East Renfrewshire,S12000011,6.1,0.9,5.6,1,5.8,1.1,5.8,1.2,5.4,1,4.7,0.9,3.7,0.7
City of Edinburgh,S12000036,7,1,6.5,1,6.9,1.2,7,1.3,6.4,1.1,5,1,5.4,1
Na h-Eileanan Siar,S12000013,6.2,1.6,6.7,1.8,7,1.9,6.3,1.7,5.7,1.4,5.4,1.5,4.2,1
Falkirk,S12000014,7.5,1.1,8,1.2,8.8,1.4,7.8,1.4,7.2,1.2,6.3,1.1,4.9,0.8
Fife,S12000015,8.2,1.2,9,1.3,8.8,1.4,9.2,1.6,7.5,1.3,6.3,1.1,5.8,1
Glasgow City,S12000046,11.3,1.4,11.5,1.5,11.2,1.7,11.9,1.9,10.3,1.7,9.4,1.6,7.7,1.2
Highland,S12000017,4.7,0.8,5.2,0.9,4.7,0.9,5.3,1.1,5,1,3.5,0.7,3.8,0.7
Inverclyde,S12000018,8.9,1.3,8.9,1.4,12.2,1.8,10.1,1.8,7.8,1.3,7.4,1.4,6.7,1.1
Midlothian,S12000019,6.9,1.1,7.6,1.3,7,1.3,6.2,1.3,6.7,1.3,5.2,1.1,4.6,0.9
Moray,S12000020,4.7,0.8,4.9,0.9,5.1,1,4.8,0.9,4.7,0.9,4.6,0.9,4.2,0.8
North Ayrshire,S12000021,11.2,1.5,11.7,1.6,12.9,1.9,13,2,9.9,1.6,9.1,1.5,8.1,1.3
North Lanarkshire,S12000044,9.6,1.3,10.1,1.4,11.1,1.6,9.9,1.6,9.1,1.4,7.3,1.2,5.8,0.9
Orkney Islands,S12000023,2.7,0.7,3.9,1,4.1,1.2,3.2,1.1,3.4,1.1,2.5,0.8,2.8,1
Perth and Kinross,S12000024,5.1,0.8,5.1,0.9,6.1,1.1,5.3,1.1,5,0.9,4,0.8,3.6,0.7
Renfrewshire,S12000038,8.7,1.2,9.5,1.4,9.4,1.5,8.4,1.5,8,1.3,6,1.1,5.6,0.9
Scottish Borders,S12000026,5.8,0.9,5.8,1,6.1,1.1,5.5,1.1,4.9,0.9,4.3,0.9,4.3,0.8
Shetland Islands,S12000027,3.3,0.8,3.5,0.9,3.3,1,3.4,1.2,3.2,1,2.6,1,2.6,0.8
South Ayrshire,S12000028,8.3,1.2,8.9,1.3,9,1.5,8.4,1.5,7.6,1.4,6.4,1.2,5.7,1
South Lanarkshire,S12000029,8,1.1,7.7,1.2,8,1.3,7.4,1.3,7.4,1.2,5.8,1,5.2,0.8
Stirling,S12000030,7.2,1.2,7.1,1.2,7.3,1.4,8.1,1.6,6.7,1.3,5.2,1.1,4.8,0.9
West Dunbartonshire,S12000039,10.1,1.4,10.7,1.5,11.3,1.7,10.8,1.7,10.4,1.6,7.9,1.4,6.3,1.1
West Lothian,S12000040,7.6,1.1,7.6,1.2,6.9,1.2,7.7,1.4,6.8,1.2,5.6,1,4.7,0.8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
-,These figures are missing.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Unemployment estimates for local authority areas except county councils are,,,,,,,,,,,,,,
,model-based.,,,,,,,,,,,,,,
,Estimates for other geography types are not model-based and are taken,,,,,,,,,,,,,,
,directly from,,,,,,,,,,,,,,
,the Annual Population Survey dataset.,,,,,,,,,,,,,,
